,GeneID,Obs.Log.Mean,Mean.log10,Obs.Log.Std.Dev,log10.Std.Dev
208,YBR005W,2.0014124411738794,-1.04127752780914,0.2836251359719577,0.346200940171689
209,YBR006W,1.6230663956947773,0.115579396486282,0.0959475187274946,0.0732623422230546
210,YBR007C,0.9812969917258232,-0.871971666812897,0.1618833880947496,0.318242092411153
211,YBR008C,1.3055940457466335,-0.0755466222763062,0.0723401376514842,0.104180915175915
212,YBR009C,1.795057741738332,0.871260166168213,0.1803917872533477,0.0715926610020054
213,YBR010W,2.139314173997595,0.788887798786163,0.1484601283221422,0.0608014764173147
214,YBR011C,3.187930747672244,0.781798541545868,0.0180080340620696,0.0426697133112822
215,YBR012W-A,,-0.365019768476486,,0.233717002694313
216,YBR012W-B,1.4173462084963244,-0.521807312965393,0.1004271649960463,0.162866959350678
217,YBR013C,1.332667146639973,-0.784625947475433,0.2653522897500321,0.375347234975129
218,YBR014C,2.008933044704001,-0.342656344175339,0.1151027308982598,0.306737580734274
219,YBR015C,1.893448524004272,-0.109903067350388,0.0708157545231425,0.117574074032218
220,YBR016W,2.3186314107146573,-0.687125980854034,0.0881197343860029,0.379445842086334
221,YBR017C,1.6236765823148285,-0.266657620668411,0.0061325807216056,0.134978858210643
222,YBR018C,0.2400164714024325,0.171837776899338,0.1586632229963775,0.0834991861629586
223,YBR019C,0.7869583031542765,0.0892101377248764,0.1174110649355664,0.0663298068715119
224,YBR020W,0.8996172124971817,0.0929608270525932,0.2179960267338712,0.0775510447201802
225,YBR021W,1.5178754595023043,0.0797507837414742,0.3057974119321425,0.071417835931728
226,YBR022W,1.6481329423097038,-0.701633453369141,0.0280239867514977,0.363368731394455
227,YBR023C,1.9381195191606504,-0.0942774340510368,0.1749114175384076,0.0754981969610579
228,YBR024W,1.197434588703412,-0.250268787145615,0.0517241324124832,0.217988417021873
229,YBR025C,2.701982958833621,0.716336846351624,0.0167327711895735,0.0376513085941793
230,YBR026C,1.938903143972957,-0.108446888625622,0.0540644323707022,0.150632564584241
231,YBR028C,1.2473250287904818,-0.292782247066498,0.184190958945675,0.188478558781779
232,YBR029C,1.9980274533484887,-0.0478323400020599,0.128262077637134,0.114387007158623
233,YBR030W,1.3163803342431828,-0.585429191589355,0.0846097543060682,0.297650040789543
234,YBR031W,3.4523772396561063,1.02539169788361,0.0290211466357748,0.0396801222961212
235,YBR033W,0.8812826161442877,-0.747271001338959,0.0615573845972711,0.282253910838385
236,YBR034C,1.9584222543759804,0.312078654766083,0.1507812202890401,0.0660021174172019
237,YBR035C,2.1788108738936827,0.212246969342232,0.0560307267060199,0.0960138832210548
238,YBR036C,2.2499512613671886,-0.208851531147957,0.0128359007544542,0.175152033943119
239,YBR037C,1.2659930138392512,-0.615510940551758,0.1014200560683129,0.33104586519172
240,YBR038W,0.7256124125111972,-0.0026828693225979,0.072059683825151,0.0676923635184951
241,YBR039W,2.1834658516033123,0.424261927604675,0.0478626995363303,0.0567363965218806
242,YBR040W,3.1382562703405354,-0.409241020679474,0.2899761791290895,0.286220901521988
243,YBR041W,1.7584901354598372,0.0639924257993698,0.1279997344407337,0.0716037402469586
244,YBR042C,1.554845548531822,-0.383470237255096,0.0421228749763377,0.241780454296821
245,YBR043C,1.551731893768619,-0.355722308158875,0.0772755706704698,0.175832264173415
246,YBR044C,1.1981409930913147,-0.720943689346313,0.0984287820716923,0.305955193663533
247,YBR045C,0.663708259012068,-0.622339904308319,0.3990241636350862,0.285603486070975
248,YBR046C,1.7807429955842664,-0.231544628739357,0.0871851029496447,0.205056380072752
249,YBR047W,1.5799056761715302,-0.687412559986115,0.1416840888844865,0.364617157684042
250,YBR048W,3.397863160578941,0.904174983501434,0.0127299711589296,0.0558227193712586
251,YBR049C,1.129148418794358,0.007611259818077,0.1787970569852603,0.0804407034995952
252,YBR050C,0.9615187181096472,-0.614382922649384,0.2186793810399189,0.324020692929813
253,YBR052C,2.1004011838902112,-0.261120855808258,0.046943018835381,0.267261289702454
254,YBR053C,2.1204950808018785,-0.1804109364748,0.0219913567909974,0.185967771085593
